Unnamed: 0,匯入時間,統計時間,機構代碼,機構名稱,權屬別,型態別,縣市鄉鎮,電話,地址,診療科別,醫師,中醫師,牙醫師,藥師,藥劑生,護理師,護士,助產士,助產師,醫事檢驗師,醫事檢驗生,鑲牙生,中藥員,齒模員,接骨員,物理治療師,職能治療師,醫事放射師,醫事放射士,物理治療生,職能治療生,呼吸治療師,諮商心理師,臨床心理師,營養師,語言治療師,牙體技術師,聽力師,牙體技術士,驗光師,驗光生,lat,lng
7253,20210801,202105,3705010021,永麗牙醫診所,私立牙醫診所,牙醫診所,臺南市新營區,06-6377897,台南市新營區大宏里三民路76-11號,"牙醫一般科,",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3073847,120.3166067
7254,20210801,202105,3841011366,祐安中醫診所,私立中醫診所,中醫診所,臺南市新營區,06-6336558,台南市新營區王公里民族路330巷56號,"中醫一般科,",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3193068,120.3198607
7255,20210801,202105,3541010407,登原診所,私立西醫診所,西醫診所,臺南市新營區,06-6322337,台南市新營區延平里延平路36號,"西醫一般科,",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3016119,120.31343400000002
7256,20210801,202105,3541010194,王國欽內兒科診所,私立西醫診所,西醫診所,臺南市新營區,06-6354920,台南市新營區民權里三民路98號,"內科,兒科,",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.30726,120.315187
7257,20210801,202105,3741010054,榮豐牙醫診所,私立牙醫診所,牙醫一般診所,臺南市新營區,06-6561369,台南市新營區民榮里裕民路16巷2－3號,"牙醫一般科,",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.302126,120.307029
7258,20210801,202105,3741010152,松柏牙醫診所,私立牙醫診所,牙醫一般診所,臺南市新營區,06-6332585,台南市新營區民權里三民路八十八之二號,"牙醫一般科,",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3073272,120.3157776
7259,20210801,202105,3541012152,翁群超耳鼻喉科診所,私立西醫診所,西醫診所,臺南市新營區,06-6565855,台南市新營區新南里民治路202號,"耳鼻喉科,",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.308446,120.304804
7260,20210801,202105,3705010058,群一牙醫診所,私立牙醫診所,牙醫診所,臺南市新營區,06-6329578,台南市新營區興安里新進路323號,"牙醫一般科,",0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.300912,120.314683
7261,20210801,202105,3705010067,超悅牙醫診所,私立牙醫診所,牙醫診所,臺南市新營區,06-6561233,台南市新營區民榮里復興路177-2號,"牙醫一般科,",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3027741,120.3055994
7262,20210801,202105,3741010018,益民牙醫診所,私立牙醫診所,牙醫一般診所,臺南市新營區,06 6355675,台南市新營區興業里中山路117號,"牙醫一般科,",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.30473,120.31798
