Unnamed: 0,匯入時間,統計時間,郵遞區號,電腦局號,局名,電腦局名,局址,郵務電話,儲匯電話,lat,lng
281,20211201,202110,704401.0,003100-5,臺南成功路郵局,臺南901支,台南市北區成功路6號,(06)226-7962,(06)226-5046,22.9981078,120.2037241
282,20211201,202110,702005.0,003101-9,臺南西門路郵局,臺南1支,台南市南區西門路一段681號,(06)222-2471,(06)222-2471,22.9867928,120.1973668
283,20211201,202110,700022.0,003102-2,臺南水交社郵局,臺南2支,台南市中西區健康路一段260號,(06)214-2892,(06)214-2892,22.9814832,120.2044849
284,20211201,202110,700008.0,003103-6,臺南興華街郵局,臺南3支,台南市中西區興華街37號,(06)222-6883,(06)222-6883,22.992647,120.2111789
285,20211201,202110,708001.0,003104-0,臺南安平郵局,臺南4支,台南市安平區安北路125號,(06)223-5402,(06)223-5402,23.0026201,120.162937
286,20211201,202110,700015.0,003105-3,臺南中正路郵局,臺南5支,台南市中西區中正路42號,(06)222-3304,(06)222-3304,22.9922186,120.2022914
287,20211201,202110,717005.0,003106-7,仁德車路墘郵局,臺南6支,台南市仁德區中正路一段32號,(06)266-2944,(06)266-2944,22.9189746,120.227351
288,20211201,202110,701401.0,003107-1,成功大學郵局,臺南7支,台南市東區大學路１號,(06)237-7908,(06)237-7908,22.997265,120.219981
289,20211201,202110,710012.0,003108-4,永康網寮郵局,臺南8支,台南市永康區小東路481號,(06)312-1095,(06)312-1095,22.998719,120.235215
290,20211201,202110,711013.0,003109-8,歸仁郵局,臺南9支,台南市歸仁區中山路一段637號,(06)230-7454,(06)230-4904,22.9664967,120.294692
291,20211201,202110,710056.0,003110-0,永康郵局,臺南10支,台南市永康區中山路78號,(06)232-2405-12,(06)232-2405-13,23.0280775,120.2569788
292,20211201,202110,710027.0,003111-3,永康六甲頂郵局,臺南11支,台南市永康區中正南路160號,(06)282-9564,(06)282-9564,23.0225156,120.2170925
293,20211201,202110,701033.0,003112-7,臺南德高厝郵局,臺南12支,台南市東區崇德路678號,(06)268-1297,(06)268-1297,22.9674483,120.2274188
294,20211201,202110,700018.0,003113-1,臺南永樂郵局,臺南13支,台南市中西區民族路三段282號,(06)223-4495,(06)223-4495,23.0001919,120.1924229
295,20211201,202110,700003.0,003114-4,臺南友愛街郵局,臺南14支,台南市中西區友愛街318號,(06)223-5406,(06)223-5406,22.99282130000001,120.19372690000002
296,20211201,202110,700280.0,003115-8,臺南南門路郵局,臺南15支,台南市中西區南門路93號,(06)214-7235,(06)214-7235,22.9887659,120.2047144
